UBANGI SHARI,Year,Scott #,,,,,,,
,1915-22,2,3,4,,,,,
,,5,6,7,,,,,
,,8,9,,,,,,
,,10,11,12,14,15,,,
,1922,24,25,26,,,,,
,,31,27,28,29,32,,,
,1924-33,51,,,,,,,
,1924,54,57,,,,,,
,1925,46,,,,,,,
,1925,52,58,62,,,,,
,1926,76,,,,,,,
,1927,77,78,,,,,,
,1927,79,,,,,,,
,1927-28,67,,,,,,,
,1931,82,83,84,85,,,,
Postage Due,,,,,,,,,
,1928,J1,J2,J3,J4,J5,J6,J7,J8
,,J12,J13,J14,J15,,,,
,,J16,J17,J18,J19,,,,
,,J20,21,J22,,,,,
Special Dlvry,,,,,,,,,
,1916,B1,,,,,,,
UGANDA,,,,,,,,,
,1898,69,71,70,,,,,
,1902,77,,,,,,,
UPPER SENEGAL + NIGER,,,,,,,,,
,1906-7,1,2,3,4,,,,
,,56,,,,,,,
,,7,9,10,11,12,8,,
,1914-17,20,22,,,,,,
,,24,25,26,27,28,29,,
Semi Postal,,,,,,,,,
,1915,B1,,,,,,,
Postage Due,,,,,,,,,
,1906,J1,J2,J3,J4,J5,,,
,,J8,J9,J10,J11,J12,J13,,
UPPER SELESIA,,,,,,,,,
,1920,1,5,,,,,,
Officials,,,,,,,,,
,1920,O32,O33,O34,O35,O36,O37,O38,
,,O40,O41,O42,O43,O44,O45,O46,
Occupation,,,,,,,,,
,1921,N1,N2,N3,N4,,,,
UPPER VOLTA,,,,,,,,,
,1920,4,6,9,,,,,
,,10,17,18,19,25,26,,
,1922,5,7,12,14,21,32,,
,1922,29,,,,,,,
,1924,33,34,,,,,,
,1925,35,36,8,15,22,23,,
,1926,38,,,,,,,
,1927-28,37,39,16,14,,,,
,1928,47,48,49,50,51,52,,
,,53,54,55,56,57,,,
,,58,59,60,61,,,,
,1931,66,67,68,69,,,,
Postage Due,,,,,,,,,
,1920,J1,J2,J3,J4,J5,J6,J7,J8
,1928,J11,J12,J13,J14,J15,J16,J17,
,,J18,J19,J20,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
USA,Year,,,,,,,,
,1847,28,,,,,,,
,1857-60,50,,,,,,,
,1851-67,78,,,,,,,
grills,,92,94,97,98,,,,
,1869,119,,,,,,,
grill,1870-71,134,136,,,,,,
national,,151,152,,,,,,
continental,1873,,165,secret marks,,,,,
american,1879,190,,,,,,,
,1893,240,241 or 242,,,,,,
,1884,260,,,,,,,
wm 191,1895,265,266,,,,,,
,,271,275,276,,,,,
,1898,291,,,,,,,
,1901,298,,,,,,,
,1902-03,320,,,,,,,
,1908-09,342,,,,,,,
,,343,344,345,346,347,,,
,1909,368,373,,,,,,
wm 190,1910,379,,,,,,,
,,382,383,,,,,,
,1912-15,408,409,,,,,,
,1912-15,421 or 440,,,,,,,
,1912,422,423 or 460,,,,,,
,1916-19,478 or 511,,,,,,,
,,479,480,,,,,,
,1916-19,481,482,483,,,,,
,1923-26,575,576 or 631,577,,,,,
,1922-32,601,,,,,,,
,1918-20,547,524,,,,,,
impf,1923,611,,,,,,,
,1925,619,,,,,,,
,1929,659,661,,,,,,
,1929,662,663,664,665,666,668,,
,,,669,672,673,674,675,,
,,,676,677,678,679,,,
,1933-34,735a or 753,,,,,,,
Air Mails,,,,,,,,,
,1918,C1,C4,C5,C6,,,,
,1933,C18,,,,,,,
Special Dlvry,,,,,,,,,
,1888,E2,,,,,,,
Postage Due,,,,,,,,,
,1879,J1,J23,J4,,,,,
,1887-89,J15,J18,,,,,,
,1891-93,J22,J23,J24,J25,J26,J27,J28,
,1894,J32,J33,J34,J35,J6,,,
WMK 445,1895,J38,J39,J40,J41,J42,J43,J44,
,,J45 or J52,J46 or J53,J47 or J54,J48 or J55,,,,
,,J49 or J56,J57,,,,,,
,1917-23,J63,J64,J66,J67,,,,
,1930-33,J78,,,,,,,
Pre Paid,,,,,,,,,
,1912,JQ1,JQ2,JQ3,,,,,
,,JQ4,JQ5,,,,,,
Newspaper,,,,,,,,,
,1895-97,PR114,PR115,PR116,PR117,PR118,PR119,,
Off. China,,,,,,,,,
,1919,K1,K2,K3,K4,K5,K6,K7,K10
NP PP,,,,,,,,,
,1912-13,Q10,Q12,,,,,,
,1928-29,QE3,,,,,,,